"STATISTIC","Statistic","TLIST(D1)","Date","C02196V02652","County","UNIT","VALUE"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE21","Dublin","%","67.9"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE2201","Kildare","%","51.1"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE2202","Meath","%","53.6"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE2203","Wicklow","%","53.5"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE2301","Clare","%","49.8"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE2401","Carlow","%","45.2"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE2402","Kilkenny","%","52.3"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE05122","Tipperary","%","48.9"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE2406","Wexford","%","53.1"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE2503","Kerry","%","52"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE05316","Cork","%","54.9"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE04225","Galway","%","49.2"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE05118","Limerick","%","55.6"
"SLI01C01","Staying Local Indicator","2020M01D05","2020 January 05","IE05225","Waterford","%","59"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","-","State","%","56.7"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE1101","Cavan","%","50.1"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE1102","Donegal","%","48.2"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE1103","Leitrim","%","47.4"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE1104","Louth","%","61.6"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE1105","Monaghan","%","51.7"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE1106","Sligo","%","48.2"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE1201","Laois","%","49.1"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE1202","Longford","%","50.5"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE1203","Offaly","%","48.3"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE1204","Westmeath","%","55.4"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE1303","Mayo","%","46"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE1304","Roscommon","%","46.8"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE21","Dublin","%","68.6"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE2201","Kildare","%","50.8"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE2202","Meath","%","52.9"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE2203","Wicklow","%","53"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE2301","Clare","%","49.7"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE2401","Carlow","%","45.2"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE2402","Kilkenny","%","52.3"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE05122","Tipperary","%","48.8"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE2406","Wexford","%","52.5"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE2503","Kerry","%","51.9"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE05316","Cork","%","55"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE04225","Galway","%","49.3"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE05118","Limerick","%","55.7"
"SLI01C01","Staying Local Indicator","2020M01D06","2020 January 06","IE05225","Waterford","%","59.1"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","-","State","%","56.7"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE1101","Cavan","%","49.7"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE1102","Donegal","%","48.1"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE1103","Leitrim","%","47"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE1104","Louth","%","61.2"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE1105","Monaghan","%","51.4"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE1106","Sligo","%","48.4"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE1201","Laois","%","48.9"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE1202","Longford","%","50.1"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE1203","Offaly","%","47.9"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE1204","Westmeath","%","55"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE1303","Mayo","%","45.9"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE1304","Roscommon","%","46.3"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE21","Dublin","%","69"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE2201","Kildare","%","50.4"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE2202","Meath","%","52.4"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE2203","Wicklow","%","52.5"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE2301","Clare","%","49.6"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE2401","Carlow","%","45.2"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE2402","Kilkenny","%","52.2"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE05122","Tipperary","%","48.6"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE2406","Wexford","%","51.9"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE2503","Kerry","%","51.8"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE05316","Cork","%","55.1"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE04225","Galway","%","49.5"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE05118","Limerick","%","55.7"
"SLI01C01","Staying Local Indicator","2020M01D07","2020 January 07","IE05225","Waterford","%","59.2"
