"Statistic","Date","County","UNIT","VALUE"
"Staying Local Indicator","2020 January 11","Kerry","%","51.7"
"Staying Local Indicator","2020 January 11","Cork","%","55.4"
"Staying Local Indicator","2020 January 11","Galway","%","49.9"
"Staying Local Indicator","2020 January 11","Limerick","%","56.1"
"Staying Local Indicator","2020 January 11","Waterford","%","59"
"Staying Local Indicator","2020 January 12","State","%","56.6"
"Staying Local Indicator","2020 January 12","Cavan","%","47.4"
"Staying Local Indicator","2020 January 12","Donegal","%","46.9"
"Staying Local Indicator","2020 January 12","Leitrim","%","45.2"
"Staying Local Indicator","2020 January 12","Louth","%","59.2"
"Staying Local Indicator","2020 January 12","Monaghan","%","49.2"
"Staying Local Indicator","2020 January 12","Sligo","%","48.2"
"Staying Local Indicator","2020 January 12","Laois","%","48"
"Staying Local Indicator","2020 January 12","Longford","%","48.6"
"Staying Local Indicator","2020 January 12","Offaly","%","46.4"
"Staying Local Indicator","2020 January 12","Westmeath","%","53.6"
"Staying Local Indicator","2020 January 12","Mayo","%","45.1"
"Staying Local Indicator","2020 January 12","Roscommon","%","45.4"
"Staying Local Indicator","2020 January 12","Dublin","%","70.9"
"Staying Local Indicator","2020 January 12","Kildare","%","49.2"
"Staying Local Indicator","2020 January 12","Meath","%","50.1"
"Staying Local Indicator","2020 January 12","Wicklow","%","50.5"
"Staying Local Indicator","2020 January 12","Clare","%","48.8"
"Staying Local Indicator","2020 January 12","Carlow","%","44.2"
"Staying Local Indicator","2020 January 12","Kilkenny","%","51.1"
"Staying Local Indicator","2020 January 12","Tipperary","%","47.5"
"Staying Local Indicator","2020 January 12","Wexford","%","49.3"
"Staying Local Indicator","2020 January 12","Kerry","%","51.7"
"Staying Local Indicator","2020 January 12","Cork","%","55.2"
"Staying Local Indicator","2020 January 12","Galway","%","49.6"
"Staying Local Indicator","2020 January 12","Limerick","%","56.1"
"Staying Local Indicator","2020 January 12","Waterford","%","58.7"
"Staying Local Indicator","2020 January 13","State","%","56.9"
"Staying Local Indicator","2020 January 13","Cavan","%","47.6"
"Staying Local Indicator","2020 January 13","Donegal","%","47.3"
"Staying Local Indicator","2020 January 13","Leitrim","%","45.2"
"Staying Local Indicator","2020 January 13","Louth","%","59.3"
"Staying Local Indicator","2020 January 13","Monaghan","%","49.2"
"Staying Local Indicator","2020 January 13","Sligo","%","48.4"
"Staying Local Indicator","2020 January 13","Laois","%","48.2"
"Staying Local Indicator","2020 January 13","Longford","%","48.8"
"Staying Local Indicator","2020 January 13","Offaly","%","46.8"
"Staying Local Indicator","2020 January 13","Westmeath","%","54"
"Staying Local Indicator","2020 January 13","Mayo","%","45.7"
"Staying Local Indicator","2020 January 13","Roscommon","%","45.7"
"Staying Local Indicator","2020 January 13","Dublin","%","71.1"
"Staying Local Indicator","2020 January 13","Kildare","%","49.4"
"Staying Local Indicator","2020 January 13","Meath","%","50.3"
"Staying Local Indicator","2020 January 13","Wicklow","%","50.7"
"Staying Local Indicator","2020 January 13","Clare","%","49"
"Staying Local Indicator","2020 January 13","Carlow","%","44.4"
"Staying Local Indicator","2020 January 13","Kilkenny","%","51.3"
"Staying Local Indicator","2020 January 13","Tipperary","%","47.9"
"Staying Local Indicator","2020 January 13","Wexford","%","49.6"
"Staying Local Indicator","2020 January 13","Kerry","%","52.2"
"Staying Local Indicator","2020 January 13","Cork","%","55.6"
"Staying Local Indicator","2020 January 13","Galway","%","50.4"
"Staying Local Indicator","2020 January 13","Limerick","%","56.4"
"Staying Local Indicator","2020 January 13","Waterford","%","58.9"
"Staying Local Indicator","2020 January 14","State","%","56.9"
"Staying Local Indicator","2020 January 14","Cavan","%","47.5"
"Staying Local Indicator","2020 January 14","Donegal","%","47.1"
"Staying Local Indicator","2020 January 14","Leitrim","%","45"
"Staying Local Indicator","2020 January 14","Louth","%","59.3"
"Staying Local Indicator","2020 January 14","Monaghan","%","49.1"
"Staying Local Indicator","2020 January 14","Sligo","%","48.3"
"Staying Local Indicator","2020 January 14","Laois","%","48"
"Staying Local Indicator","2020 January 14","Longford","%","48.8"
"Staying Local Indicator","2020 January 14","Offaly","%","46.8"
"Staying Local Indicator","2020 January 14","Westmeath","%","54.1"
"Staying Local Indicator","2020 January 14","Mayo","%","45.7"
"Staying Local Indicator","2020 January 14","Roscommon","%","45.9"
"Staying Local Indicator","2020 January 14","Dublin","%","71.1"
"Staying Local Indicator","2020 January 14","Kildare","%","49.3"
"Staying Local Indicator","2020 January 14","Meath","%","50.1"
"Staying Local Indicator","2020 January 14","Wicklow","%","50.4"
"Staying Local Indicator","2020 January 14","Clare","%","48.9"
"Staying Local Indicator","2020 January 14","Carlow","%","44.3"
"Staying Local Indicator","2020 January 14","Kilkenny","%","51.3"
"Staying Local Indicator","2020 January 14","Tipperary","%","47.7"
"Staying Local Indicator","2020 January 14","Wexford","%","49.6"
"Staying Local Indicator","2020 January 14","Kerry","%","52.3"
"Staying Local Indicator","2020 January 14","Cork","%","55.7"
"Staying Local Indicator","2020 January 14","Galway","%","50.6"
"Staying Local Indicator","2020 January 14","Limerick","%","56.5"
"Staying Local Indicator","2020 January 14","Waterford","%","58.9"
"Staying Local Indicator","2020 January 15","State","%","56.9"
"Staying Local Indicator","2020 January 15","Cavan","%","47.5"
"Staying Local Indicator","2020 January 15","Donegal","%","46.9"
"Staying Local Indicator","2020 January 15","Leitrim","%","45"
"Staying Local Indicator","2020 January 15","Louth","%","59.4"
"Staying Local Indicator","2020 January 15","Monaghan","%","49.2"
"Staying Local Indicator","2020 January 15","Sligo","%","48.4"
"Staying Local Indicator","2020 January 15","Laois","%","47.9"
"Staying Local Indicator","2020 January 15","Longford","%","48.9"
"Staying Local Indicator","2020 January 15","Offaly","%","46.7"
"Staying Local Indicator","2020 January 15","Westmeath","%","54.2"
"Staying Local Indicator","2020 January 15","Mayo","%","45.7"
"Staying Local Indicator","2020 January 15","Roscommon","%","45.9"
"Staying Local Indicator","2020 January 15","Dublin","%","71.1"
"Staying Local Indicator","2020 January 15","Kildare","%","49.1"
"Staying Local Indicator","2020 January 15","Meath","%","50"
"Staying Local Indicator","2020 January 15","Wicklow","%","50.2"
"Staying Local Indicator","2020 January 15","Clare","%","48.8"
"Staying Local Indicator","2020 January 15","Carlow","%","44.3"
"Staying Local Indicator","2020 January 15","Kilkenny","%","51.1"
"Staying Local Indicator","2020 January 15","Tipperary","%","47.6"
"Staying Local Indicator","2020 January 15","Wexford","%","49.5"
"Staying Local Indicator","2020 January 15","Kerry","%","52.3"
"Staying Local Indicator","2020 January 15","Cork","%","55.8"
"Staying Local Indicator","2020 January 15","Galway","%","51"
"Staying Local Indicator","2020 January 15","Limerick","%","56.5"
"Staying Local Indicator","2020 January 15","Waterford","%","59"
"Staying Local Indicator","2020 January 16","State","%","57"
"Staying Local Indicator","2020 January 16","Cavan","%","47.7"
"Staying Local Indicator","2020 January 16","Donegal","%","47"
"Staying Local Indicator","2020 January 16","Leitrim","%","45"
"Staying Local Indicator","2020 January 16","Louth","%","59.6"
"Staying Local Indicator","2020 January 16","Monaghan","%","49.1"
"Staying Local Indicator","2020 January 16","Sligo","%","48.5"
"Staying Local Indicator","2020 January 16","Laois","%","47.8"
"Staying Local Indicator","2020 January 16","Longford","%","48.9"
"Staying Local Indicator","2020 January 16","Offaly","%","46.8"
"Staying Local Indicator","2020 January 16","Westmeath","%","54.6"
"Staying Local Indicator","2020 January 16","Mayo","%","45.8"
"Staying Local Indicator","2020 January 16","Roscommon","%","45.9"
"Staying Local Indicator","2020 January 16","Dublin","%","71.1"
"Staying Local Indicator","2020 January 16","Kildare","%","49.3"
"Staying Local Indicator","2020 January 16","Meath","%","50"
"Staying Local Indicator","2020 January 16","Wicklow","%","50.3"
"Staying Local Indicator","2020 January 16","Clare","%","48.8"
"Staying Local Indicator","2020 January 16","Carlow","%","44.6"
"Staying Local Indicator","2020 January 16","Kilkenny","%","51.3"
"Staying Local Indicator","2020 January 16","Tipperary","%","47.7"
"Staying Local Indicator","2020 January 16","Wexford","%","49.7"
"Staying Local Indicator","2020 January 16","Kerry","%","52.5"
"Staying Local Indicator","2020 January 16","Cork","%","56"
"Staying Local Indicator","2020 January 16","Galway","%","51.5"
